id,name,reagents,tier,decision_q,choiceA,choiceA_correct,choiceB,choiceB_correct,choiceC,choiceC_correct,choiceD,choiceD_correct,prod_type,prod_c1,prod_c2,prod_stereo,rule,trap_id,firstMove,shortcut,whyTrapTempting,smiles
d2_stereo_hexene_1,D2/Pt Hydrogenation Stereochemistry: E vs Z-3-hexene,"D2, Pt catalyst",predict,Both (E)- and (Z)-3-hexene are treated with D2 in the presence of a platinum catalyst. How are the products from these two reactions related to each other?,The (E)- and (Z)-isomers generate the same products in exactly the same amounts,false,The (E)- and (Z)-isomers generate the same products but in differing amounts,false,The products of the two isomers are related as diastereomers,true,The products of the two isomers are related as enantiomers,false,alkane,"meso-3,4-dideuterohexane (from E-3-hexene, syn addition)","(3R,4R)/(3S,4S)-3,4-dideuterohexane racemic pair (from Z-3-hexene, syn addition)","syn addition of D2 to E-alkene gives meso product; syn addition to Z-alkene gives racemic (R,R)/(S,S) pair — these sets are diastereomers of each other","Catalytic hydrogenation (D2/Pt) is a syn addition — both D atoms add to the same face. Starting from E-3-hexene, syn addition gives the meso compound. Starting from Z-3-hexene, syn addition gives the (R,R)/(S,S) racemate. Meso and the racemate are diastereomers.",enantiomer_trap,Draw out syn addition of D2 to each alkene geometry and identify the stereocenters created,E-alkene + syn D2 = meso; Z-alkene + syn D2 = racemate. Meso vs racemate = diastereomers.,"Students confuse diastereomers and enantiomers, or forget that syn addition fixes the relative stereochemistry of the two new stereocenters",
icl_addition_1,ICl Addition to 1-Methylcyclohexene (Markovnikov Regioselectivity),ICl,predict,"When ICl adds to 1-methylcyclohexene, which regiochemical outcome is correct? (I is the electrophile in I-Cl because it is the more polarisable, less electronegative atom; Cl is the nucleophile.)","Cl ends up on the more substituted carbon (C-1, bearing CH3); I ends up on the less substituted carbon (C-2)",true,"I ends up on the more substituted carbon (C-1, bearing CH3); Cl ends up on the less substituted carbon (C-2)",false,Both I and Cl add randomly — no regioselectivity is observed,false,Only HI and HCl elimination products form; no addition occurs,false,add,1-chloro-1-methyl-2-iodocyclohexane,,anti addition (Cl delivered from opposite face to iodonium ion),"In ICl, iodine is the electrophile (d+) because it is larger and more polarisable; chlorine is the nucleophile (d-). The iodonium ion forms preferentially at the more substituted carbon (Markovnikov). Cl- then attacks the more substituted carbon from the back (anti). Product: 1-methyl-1-Cl-2-I-cyclohexane (trans).",reversed_polarity_trap,"Determine polarity of I-Cl bond: I is electrophile, Cl is nucleophile (opposite of what students expect)",I is always the electrophile in ICl; Cl goes to the more substituted carbon via Markovnikov,"Students assume Cl is the electrophile because it is more electronegative, reversing the regiochemistry",ClC1(C)CCCCC1I
hydroboration_retro_1,Identify Starting Alkene for Hydroboration-Oxidation,"1. BH3-THF; 2. NaOH, H2O2",reverse,"Hydroboration-oxidation (BH3-THF then NaOH/H2O2) gives a product with OH on the less hindered carbon and syn stereochemistry. Which starting alkene is needed to give (S)-3-methylbutan-2-ol (OH on C-2, anti-Markovnikov, syn addition)?","(Z)-3-methylbut-2-ene (cis double bond, not E-isomer) — syn anti-Markovnikov addition places OH at C-2",true,(E)-3-methylbut-2-ene — would give the same product because stereochemistry does not matter,false,"2-methylbut-1-ene — Markovnikov product would place OH at C-1, not C-2",false,"3-methylbut-1-ene — the terminal alkene gives primary alcohol, not the desired secondary",false,add,anti-Markovnikov alcohol with syn stereochemistry,,syn addition; OH and H added to same face,"BH3-THF/NaOH-H2O2 = hydroboration-oxidation: anti-Markovnikov, syn addition. Work backwards from the product — OH is on the less substituted carbon, H is syn. The Z-isomer of the internal alkene is required to generate the specific diastereomeric product shown.",e_vs_z_stereochemistry_trap,Work backwards: anti-Markovnikov tells you which carbon gets OH; syn addition + alkene geometry determines relative stereochemistry of product,"Hydroboration: OH goes to less hindered carbon, syn addition. Use alkene geometry to control product stereochemistry.",Students choose the E-isomer without realising that E vs Z changes the relative configuration of the syn addition product,
multistep_seq_A_1,Multi-Step Sequence: Identify Intermediate A (Oxymercuration-Demercuration),"1. Hg(OAc)2, H2O; 2. NaBH4",predict,Methylenecyclopentane is treated with 1. Hg(OAc)2/H2O then 2. NaBH4. What is intermediate A?,"1-methylcyclopentan-1-ol (Markovnikov alcohol, OH on the more substituted tertiary carbon)",true,"Cyclopentylmethanol (anti-Markovnikov alcohol, OH on the exocyclic CH2)",false,Cyclopentanone (oxidation product),false,"1,2-cyclopentanediol (diol from OsO4-type addition)",false,add,1-methylcyclopentan-1-ol,,no new stereocenters for tertiary alcohol,"Oxymercuration-demercuration gives Markovnikov addition of water with no rearrangement. For methylenecyclopentane, the exocyclic double bond has one ring-carbon end (more substituted) and one CH2 end (less substituted). OH adds to the more substituted ring carbon, giving 1-methylcyclopentan-1-ol.",anti_markovnikov_trap,Identify which carbon of the double bond is more substituted — OH goes there (Markovnikov),"Oxymercuration = Markovnikov water addition, no rearrangement",Students confuse oxymercuration with hydroboration and place OH on the less substituted (exocyclic) carbon,OC1(C)CCCC1
multistep_seq_B_1,Multi-Step Sequence: Identify Intermediate B (Acid-Catalysed Dehydration),"H2SO4, heat",predict,1-methylcyclopentan-1-ol is treated with H2SO4 and heat (dehydration). What is the major alkene product B?,"1-methylcyclopent-1-ene (endocyclic, more substituted, Zaitsev product)",true,"Methylenecyclopentane (exocyclic alkene, less substituted)",false,Cyclopentane (full dehydration to cycloalkane — not possible from this substrate),false,Cyclopentanone (oxidation product — wrong reaction type),false,add,1-methylcyclopent-1-ene,,,"Acid-catalysed dehydration follows Zaitsev's rule — the more substituted (more stable) alkene is the major product. For 1-methylcyclopentan-1-ol, loss of H from the ring gives the endocyclic trisubstituted 1-methylcyclopent-1-ene, which is more stable than the exocyclic methylenecyclopentane.",exocyclic_trap,Identify all possible beta-H positions; choose elimination toward the more substituted alkene,Zaitsev: more substituted alkene wins. Endocyclic > exocyclic for cyclopentane ring.,"The exocyclic alkene is tempting because the starting material was made from it, but Zaitsev favours the more substituted endocyclic alkene",C1=C(C)CCC1
multistep_seq_C_1,Multi-Step Sequence: Identify Product C (KMnO4 Oxidative Cleavage),KMnO4,predict,"1-methylcyclopent-1-ene is treated with KMnO4 (hot, concentrated). What product C results from oxidative cleavage?",5-oxohexanoic acid (a keto-acid from ring opening and oxidative cleavage of the double bond),true,"A syn diol (1,2-diol) — this is cold, dilute KMnO4",false,"An epoxide — requires a peracid, not KMnO4",false,"Cyclohexanone — wrong carbon count, wrong reaction",false,cleave,5-oxohexanoic acid,,,"Hot concentrated KMnO4 cleaves the C=C bond oxidatively. A disubstituted carbon of the double bond (C-1, bearing methyl and ring) becomes a ketone/carboxylic acid. For a cyclic alkene, ring opening gives a single bifunctional chain product. 1-methylcyclopent-1-ene gives 5-oxohexanoic acid (one end is a ketone from the CH3-bearing carbon, the other end is a carboxylic acid from the ring CH2 carbon).",cold_kmno4_trap,Determine KMnO4 conditions: hot/conc = oxidative cleavage; cold/dilute = syn diol,Hot KMnO4 on cyclic alkene = ring opens to give single keto-acid chain,"Students apply cold KMnO4 (syn diol) rules to hot KMnO4, or forget that a cyclic alkene gives one chain product not two separate fragments",CC(=O)CCCC(=O)O
stability_rank_cyclo_1,Alkene Stability Ranking (Four Cyclohexyl Alkenes),,recognise,"Rank these four alkenes from most stable (1) to least stable (4): A = cyclohexyl with exocyclic trans (E) disubstituted alkene; B = cyclohexyl with exocyclic vinylidene (=CH2, terminal); C = cyclohexyl with endocyclic trisubstituted alkene; D = cyclohexyl with endocyclic disubstituted (cis/internal ring) alkene. Which ranking is correct?",C (trisubstituted endocyclic) = 1st; A (E disubstituted exocyclic) = 2nd; D (disubstituted endocyclic) = 3rd; B (monosubstituted/terminal) = 4th,true,B (terminal) = 1st; A = 2nd; C = 3rd; D = 4th,false,A = 1st; C = 2nd; D = 3rd; B = 4th,false,All four are equally stable because they all contain a cyclohexyl ring,false,,,,,"Alkene stability increases with degree of substitution (more alkyl groups on the double bond = more hyperconjugation/induction stabilisation). Ranking: trisubstituted > disubstituted (E/trans) > disubstituted (cis/internal) > monosubstituted/terminal. The answer image shows: A=2, B=4, C=1, D=3.",endocyclic_vs_exocyclic_trap,Count substituents on each carbon of the double bond; more substituents = more stable,More substituted = more stable. Trisubstituted beats disubstituted beats mono.,"Students may rank endocyclic lower than exocyclic, or mistake the terminal alkene as more stable because it looks 'simpler'",
eu_c5h7clo_1,Elements of Unsaturation for C5H7ClO,,recognise,How many elements of unsaturation (EU / degrees of unsaturation) does C5H7ClO have?,2,true,1,false,3,false,0,false,,,,,EU = (2C + 2 + N - H - X) / 2. For C5H7ClO: EU = (2x5 + 2 - 7 - 1) / 2 = (10 + 2 - 7 - 1) / 2 = 4/2 = 2. Halogens count as H for the formula; O is ignored in the EU count.,oxygen_inclusion_trap,"Write the EU formula: (2C + 2 - H - X + N) / 2. Substitute C=5, H=7, X(Cl)=1, O=0 contribution.",Halogens subtract like H; oxygen and sulfur have no effect on EU count,"Students add O into the formula incorrectly, or forget that halogens count as H equivalents, giving wrong EU of 1 or 3",
iupac_name_to_structure_1,IUPAC Name to Structure: (E)-2-Chloro-3-methyl-2-pentene,,recognise,Which description correctly represents the structure of (E)-2-chloro-3-methyl-2-pentene?,"A 5-carbon chain with a double bond between C2 and C3, chlorine on C2, methyl group on C3, and the higher-priority groups on C2 (Cl) and C3 (ethyl) on opposite sides (E configuration)",true,"A 5-carbon chain with the double bond between C2 and C3, chlorine on C3, and methyl on C2 (substituents swapped)",false,A 6-carbon chain (hexene) with chlorine on C2 and methyl on C3,false,(Z) configuration — the two higher-priority groups are on the same side,false,,,,E: Cl and ethyl on opposite faces of the double bond,"Parse the name: pent-2-ene = 5C chain, double bond C2-C3; 2-chloro = Cl on C2; 3-methyl = CH3 on C3; (E) = higher priority groups on C2 (Cl > CH3) and C3 (CH2CH3 > CH3) are trans/opposite. The answer shows the correct E-configured 2-chloro-3-methyl-2-pentene structure.",ez_priority_trap,"Assign CIP priorities on each alkene carbon independently, then check E/Z",On C2: Cl > CH3. On C3: CH2CH3 > CH3. E = these two high-priority groups are on opposite sides.,"Students confuse cis/trans (same/opposite for same group) with E/Z (CIP priority), or mix up which groups are highest priority on each carbon",CC/C(=C(\Cl)C)/C
iupac_structure_to_name_1,Structure to IUPAC Name: 5-methyloct-2-ene,,recognise,A structure shows an 8-carbon chain with a double bond at C2 and a methyl branch at C5 (confirmed by the answer as cis/Z configuration). What is the correct IUPAC name?,(Z)-5-methyloct-2-ene (or cis-5-methyl-2-octene),true,(E)-5-methyloct-2-ene,false,5-methyloct-3-ene,false,3-methyloct-6-ene,false,,,,Z (cis) configuration at the double bond,Longest chain containing the double bond = 8 carbons (octene). Number from the end closer to the double bond: double bond at C2-C3 (2-octene). Methyl branch at C5. Geometry: Z (cis). Full name: (Z)-5-methyloct-2-ene. The answer image confirms 'cis-5-methyl-2-octene or Z-'.,numbering_direction_trap,Find the longest chain containing the double bond; number so double bond gets lowest locant,Number from the closer end to the double bond. Branch locant follows from that numbering.,"Students number from the wrong end, swapping the double bond and branch locants, or assign E instead of Z without checking CIP priorities",CC/C=C/CCC(C)C
hbr_reactivity_rank_1,Alcohol Reactivity Ranking Toward HBr (Cation Stability),HBr,recognise,"Rank these three alkenes by reactivity toward HBr addition (fastest = 1, slowest = 3): A = 2-methylbut-1-ene (terminal alkene, gives tertiary carbocation); B = 3-methylbut-1-ene (terminal, gives secondary then possible rearrangement); C = 2-methylbut-2-ene (internal trisubstituted alkene, gives tertiary carbocation directly). Wait — the question shows three alkene structures. The answer indicates ranking by carbocation stability: most reactive has most stable carbocation intermediate. Which order is correct?","C (2-methylbut-2-ene, trisubstituted, gives stable 3° carbocation) = 1st fastest; B (3-methylbut-1-ene, gives 2° carbocation) = 2nd; A (terminal least substituted, gives less stable cation) = 3rd slowest",true,A = 1st; B = 2nd; C = 3rd,false,All three react at the same rate,false,B = 1st; C = 2nd; A = 3rd,false,,,,,"HBr addition rate is governed by carbocation stability in the rate-determining step. More substituted carbocations are more stable and form faster. The answer image shows the ranking as 3, 2, 1 (left to right for the three structures shown), confirming most substituted alkene reacts fastest. Rule: cation stability = 3° > 2° > 1°.",reactivity_vs_stability_trap,Protonate each alkene to determine the carbocation formed (Markovnikov); rank by carbocation stability,More substituted alkene = more stable carbocation = faster HBr addition,Students confuse alkene stability (more substituted = more stable = slower to react) with reactivity toward electrophilic addition (more substituted = faster because better carbocation),
reagents_for_diol_1,Choose Reagents for Alcohol to Vicinal Diol Transformation,,reverse,You need to convert (cyclohexylmethyl)methanol (a cyclohexane ring with a -CH2OH sidechain) to 1-(hydroxymethyl)cyclohexane-1-ol (adding an OH to the ring carbon adjacent to the CH2OH). What two-step reagent sequence achieves this?,"Step 1: H2SO4 (dehydration to form cyclohexene with exocyclic double bond); Step 2: CH3CO3H or mCPBA then H2O (epoxidation then acid opening for trans diol, OR OsO4/H2O2 for syn diol)",true,"Step 1: HBr; Step 2: NaOH — this gives an ether, not a diol",false,Step 1: OsO4 alone on the starting alcohol — the alcohol has no alkene to dihydroxylate,false,Step 1: KMnO4; Step 2: H2O — this would oxidise rather than add OH,false,diol,1-(hydroxymethyl)cyclohexan-1-ol,,syn if using OsO4; can be trans if using epoxide opening,"The answer shows H2SO4 (dehydration to give exocyclic alkene) then CH3CO3H (peracid epoxidation) + H2O (epoxide opening). This gives the 1,2-diol at the exocyclic position. The starting material has no double bond, so it must first be dehydrated to introduce the alkene, then dihydroxylated.",no_alkene_trap,"Check: does the starting material have a double bond? If not, dehydration must be step 1 to install the alkene.","Alcohol to diol = dehydrate first (H2SO4), then dihydroxylate (OsO4 for syn, or epoxide for anti)",Students try to apply dihydroxylation directly to the alcohol without first creating a double bond,
degrees_unsaturation_1,Degrees of Unsaturation: C6H9NO2,,predict,How many elements of unsaturation (degrees of unsaturation) are in the formula C6H9NO2?,0,false,1,false,2,false,3,true,,,,,"DoU = (2C + 2 + N - H) / 2. For C6H9NO2: (2x6 + 2 + 1 - 9) / 2 = (12 + 2 + 1 - 9) / 2 = 6/2 = 3. Nitrogen adds 1, each oxygen is ignored, halogens subtract 1.",,Write the DoU formula: (2C + 2 + N - H) / 2. Oxygen and sulfur do not affect the count; nitrogen adds 1 to the numerator.,For C6H9NO2: (14 + 1 - 9) / 2 = 6/2 = 3,"Students often forget nitrogen adds 1 to the formula, or they subtract H count before adding the nitrogen contribution, giving 2 instead of 3.",
ez_classification_multi_1,E/Z Classification: Four Alkenes with NO2 Groups,,recognise,"Four alkenes are shown (A: internal alkene with NO2 on one end, B: internal alkene with NO2 on the same carbon as a larger chain, C: internal alkene with NO2, D: cyclopentene fused ring with exocyclic double bond). Which statement is true about their E/Z designations?","A, C, and D are Z; B is E",false,A and B are the only Z compounds,false,A is the only Z compound; B is the only E compound,true,"B, C, and D are Z; A is E",false,,,,,"Assign E/Z by CIP priority on each carbon of the double bond. A has higher-priority groups on the same side (Z). B has higher-priority groups on opposite sides (E). C and D lack two different substituents on each sp2 carbon, so they are not E/Z isomers at all.",,"Check each sp2 carbon: does it have two different substituents? If one carbon has two identical groups (e.g., two H), the compound has no E/Z designation.",Only compounds where both alkene carbons are disubstituted with different groups can be E or Z. Monosubstituted carbons make the whole alkene non-designatable.,"Students see NO2 and assume E/Z applies to all four, not checking whether both ends of the double bond have two different substituents.",
dehydration_reactivity_rank_1,Dehydration Reactivity Ranking: 1° vs 2° vs 3° Alcohol,"H2SO4, heat",recognise,"Rank the reactivity of three alcohols toward H2SO4/heat catalyzed dehydration: A is a primary alcohol (4-methylpentan-1-ol, 1°), B is a secondary alcohol (3-methylbutan-2-ol, 2°), C is a tertiary alcohol (2-methylbutan-2-ol, 3°). Which answer correctly orders fastest to slowest?",A is fastest; C is slowest,false,B is fastest; C is slowest,false,A is fastest; B is slowest,false,C is fastest; A is slowest,true,,,,,"Dehydration proceeds via carbocation intermediate (E1). More substituted carbocations are more stable and form faster. 3° alcohol (C) reacts fastest, 1° alcohol (A) reacts slowest. Order: 3° > 2° > 1°.",,Identify the degree of substitution at the carbon bearing OH on each alcohol.,More substituted OH = more stable carbocation = faster E1 dehydration. 3° is always fastest.,"Students may confuse 'more substituted = more stable product' (Zaitsev) with reaction rate, or confuse alkene stability with alcohol reactivity.",
same_product_ez_butene_1,Same Product from Both E- and Z-2-Butene,,predict,Which reagent gives exactly the same product(s) from both (E)-2-butene and (Z)-2-butene?,Br2,false,PhCO3H (mCPBA),false,"1) BH3-THF  2) NaOH, H2O2",true,"OsO4, H2O2",false,,,,,"Hydroboration-oxidation (BH3/THF then NaOH/H2O2) adds H and OH syn, but the carbon bearing OH in 2-butene becomes a single chiral center. Because only one chiral center is produced, both E and Z alkenes give the same racemic mixture of (R)- and (S)-2-butanol. Br2 and OsO4/H2O2 produce two chiral centers, so E gives meso and Z gives a racemate (or vice versa) -- different outcomes.",,"Ask: how many chiral centers does the product have? If only one or zero, both alkene geometries give the same product.","When the reaction creates only one new chiral center, E and Z geometries are irrelevant -- both give the same racemic mix.","Students assume syn addition (BH3) must be geometry-sensitive like OsO4, forgetting that with only one chiral center in the product, syn vs anti doesn't matter.",
syn_addition_h2_cyclopentene_1,Stereo Outcome: H2/Pt on Cyclopentene,"H2, Pt",predict,What is the stereochemical outcome when 1-methylcyclopentene reacts with H2/Pt?,Trans product only,false,Cis product only,true,Racemic mixture of cis and trans,false,No stereochemistry -- the product has no stereocenters,false,alkane,"cis-1,2-dimethylcyclopentane",,cis,"H2 with a metal catalyst (Pt, Pd, Ni) delivers both H atoms to the same face of the double bond (syn addition). For a cyclic alkene this gives the cis product.",,Identify: is this syn or anti addition? H2/metal = syn. Then place both new H atoms on the same face of the ring.,H2/metal always syn. Cyclic alkene + syn H2 = cis product at the two carbons that were part of the double bond.,"Students may default to 'trans' because trans is thermodynamically more stable, confusing kinetic (addition) outcome with thermodynamic product.",C1CC=CC1
anti_addition_br2_cyclohexene_1,Stereo Outcome: Br2 on Cyclohexene,Br2,predict,What is the stereochemical outcome when cyclohexene reacts with Br2 (no solvent specified)?,"Cis-1,2-dibromocyclohexane only",false,"Trans-1,2-dibromocyclohexane (racemic mixture of enantiomers)",true,"Meso-1,2-dibromocyclohexane only",false,Equal mixture of cis and trans products,false,add,"trans-1,2-dibromocyclohexane",,trans,"Br2 adds via a bromonium ion intermediate, forcing anti addition. Both bromines end up on opposite faces of the ring, giving the trans-dibromo product as a racemic pair of enantiomers.",,Identify: Br2 = anti addition via bromonium ion. Both Br atoms add to opposite faces.,Br2 (or Cl2) in inert solvent always anti. Cyclic alkene + anti addition = trans dihalide (racemic).,"Students may think 'diaxial' is the same as 'trans' without thinking about which face each Br attacks, or confuse this with meso.",C1CCCCC1
halohydrin_cyclopentene_1,Stereo Outcome: Cl2/H2O on 3-Methylcyclopentene,"Cl2, H2O",predict,What is the regiochemical and stereochemical outcome of Cl2/H2O (halohydrin formation) on 3-methylcyclopentene?,Syn addition: chlorine and OH on the same face,false,Anti addition: chlorine and OH on opposite faces (trans product),true,Markovnikov addition of HCl with no stereochemical control,false,Both syn and anti products form equally,false,add,trans-2-chloro-3-methylcyclopentan-1-ol,,trans,"Cl2/H2O forms a chloronium ion intermediate. Water attacks from the opposite face (anti). OH goes to the more substituted carbon (Markovnikov), Cl goes to the less substituted. Result is anti (trans) addition.",,Recognize Cl2/H2O = halohydrin conditions. Anti addition via halonium ion. OH at more substituted carbon.,Halohydrin = anti addition + OH at more substituted carbon. Same face rule as Br2 but water is the nucleophile.,"Students may think water attacks the same face as Cl (syn), or forget that the OH goes to the MORE substituted carbon, not the less substituted.",
osmium_cis_diol_1,Stereo Outcome: OsO4/H2O2 on (E)-2-Butene,"OsO4, H2O2",predict,What is the stereochemical outcome of OsO4/H2O2 dihydroxylation of (E)-2-butene?,"Meso-2,3-butanediol (a single achiral compound)",false,"Racemic mixture of (2R,3R) and (2S,3S)-2,3-butanediol",false,"(2R,3S)-2,3-butanediol (meso) only -- wait, this applies to Z. For E: racemic (2R,3R) and (2S,3S)",false,"Syn addition giving both OH groups on the same face, so (E)-2-butene gives the racemic (anti) diol pair",true,diol,"(2R,3R)-2,3-butanediol","(2S,3S)-2,3-butanediol",syn,"OsO4 adds both OH groups syn (same face). For (E)-2-butene, syn addition gives a racemic mixture of (2R,3R) and (2S,3S)-butanediol (the anti diol in terms of configuration, because the E geometry means the methyls are trans). For (Z)-2-butene, syn addition gives meso-2,3-butanediol.",,"OsO4 = syn dihydroxylation. Draw the geometry of the alkene, then add both OHs to the same face.",OsO4 on E-alkene = racemic diol. OsO4 on Z-alkene = meso diol (for symmetric cases like 2-butene).,"Students confuse syn addition with cis product. Syn means same face of addition, but with E-2-butene the resulting stereocenters end up with opposite configurations (giving the chiral pair, not meso).",C/C=C/C
reagents_for_markovnikov_alcohol_1,Reagents to Convert Alcohol to Markovnikov Alkyl Bromide,,reverse,"What reagents convert 2-methylbutan-2-ol (a tertiary alcohol with OH on C2) into 2-bromo-2-methylbutane (a tertiary alkyl bromide with Br on C2, Markovnikov)?","1) H2SO4, heat;  2) HBr",true,"1) NaOH;  2) HBr, peroxides",false,1) BH3-THF;  2) Br2,false,1) OsO4;  2) HBr,false,add,,,,"Dehydrate the alcohol with H2SO4/heat to form the alkene, then add HBr without peroxides (Markovnikov) to place Br on the more substituted carbon. Answer confirmed in image104: step 1 H2SO4 heat, step 2 HBr.",,"The target has Br at the same carbon as the original OH, so use dehydration then Markovnikov HBr addition.",OH at tertiary carbon -> dehydrate -> add HBr (Markovnikov) -> Br returns to same position.,"Students may try to use HBr directly on the alcohol (substitution), which can work for some alcohols but is less reliable for tertiary; or they use peroxides (anti-Markovnikov) by mistake.",
reagents_for_anti_markovnikov_oh_cyclohexyl_1,Reagents to Convert Bromo-Cyclohexane to Markovnikov Alcohol,,reverse,What reagents convert (bromomethyl)cyclohexane (exocyclic CH2Br on cyclohexane ring) into (1-methylcyclohexyl)methanol with CH3 and OH both on the ring carbon (Markovnikov alcohol at ring carbon)?,"1) NaOCH3 (small base);  2) BH3-THF;  3) NaOH, H2O2",true,"1) NaOH;  2) H2O, H+",false,"1) KOtBu;  2) OsO4, H2O2",false,1) Mg/ether;  2) H2O,false,,,,,"Step 1: eliminate HBr with NaOCH3 (small base, gives Zaitsev alkene = methylenecyclohexane). Step 2: BH3-THF adds boron anti-Markovnikov to exocyclic carbon. Step 3: NaOH/H2O2 oxidizes to alcohol. This gives OH at the ring carbon (anti-Markovnikov relative to the exo double bond, but Markovnikov at ring). Answer shown in image104.",,Recognize the 3-step sequence: elimination -> hydroboration-oxidation to set regiochemistry of OH.,"Hydroboration puts OH at the less substituted carbon of the alkene, which here is the exocyclic carbon. Plan the alkene geometry so that anti-Markovnikov gives the desired OH position.",Students may try direct substitution (SN2 on the bromide) or use Markovnikov addition and get OH on the wrong carbon.,
mercuryacetate_methoxymercuration_1,Markovnikov Methoxymercuration: Product Regiochemistry,"1. Hg(OAc)2, CH3OH  2. NaBH4",predict,What is the major product when (E)-pent-2-ene reacts with 1) Hg(OAc)2/CH3OH then 2) NaBH4 (oxymercuration with methanol)?,"2-methoxypentane (OCH3 on C2, Markovnikov)",true,"3-methoxypentane (OCH3 on C3, anti-Markovnikov)",false,"Pent-2-ol (OH added, not OCH3)",false,3-pentanone (oxidation product),false,add,2-methoxypentane,,,"Hg(OAc)2 with an alcohol (CH3OH) acts as the nucleophile instead of water. Methanol attacks the more substituted carbon of the mercurinium ion (Markovnikov), giving the methyl ether after NaBH4 reduction. No rearrangements occur.",,"Identify the nucleophile: CH3OH in step 1, so the product is an ether not an alcohol. Apply Markovnikov selectivity.",Hg(OAc)2 + ROH = Markovnikov ether (not alcohol). NaBH4 just removes Hg.,Students may use water as the nucleophile (giving an alcohol) or apply anti-Markovnikov regiochemistry (BH3 pattern).,CC=CCC
potassium_tert_butoxide_elimination_1,Elimination with Bulky Base: Product Selection,KOCMe3 (potassium tert-butoxide),predict,A bromo-substituted bicyclic compound (bromide on a cyclobutane ring fused to a cyclopentane) reacts with potassium tert-butoxide (KOCMe3). What is the major outcome?,E1 elimination to give the more substituted (Zaitsev) alkene,false,E2 elimination to give the less substituted (Hofmann) alkene because the base is bulky,true,SN2 substitution to give the tert-butyl ether,false,No reaction -- KOCMe3 is too bulky to react,false,,,,,"Potassium tert-butoxide is a bulky, strong base that favors E2 elimination over SN2. With a bulky base, the less hindered (less substituted) proton is abstracted, giving the less substituted alkene (Hofmann product).",,Identify: KOCMe3 is a bulky strong base -> E2 predominates. Bulky base = Hofmann (less substituted) product.,"Bulky base (KOtBu, LDA) = Hofmann elimination. Small base (NaOH, NaOCH3) = Zaitsev (more substituted).",Students may default to Zaitsev (more stable alkene is major product) without recognizing that bulky base overrides this preference.,
h2so4_heat_dehydration_product_1,Acid-Catalyzed Dehydration: Which Alkene Forms,"H2SO4, heat",predict,A cyclopentanol with an OH group on the ring reacts with H2SO4/heat. What is the major product?,The more substituted (endocyclic) alkene via Zaitsev rule,true,The less substituted (exocyclic) alkene via Hofmann rule,false,No reaction -- cyclic alcohols resist dehydration,false,A ring-opened product,false,,,,,"H2SO4/heat dehydration follows Zaitsev: the more substituted, more stable alkene is the major product. For cyclic alcohols this is the endocyclic alkene. H+ protonates OH, water leaves forming carbocation, proton is removed from the adjacent carbon toward more substitution.",,Identify: H2SO4/heat = E1 dehydration. Apply Zaitsev = more substituted alkene.,"H2SO4/heat always gives Zaitsev (most substituted alkene). No bulky base present, so no Hofmann override.",Students may confuse acid-catalyzed dehydration with base-catalyzed elimination and apply the wrong regioselectivity rule.,
hbr_markovnikov_cyclopentene_1,HBr Addition to Cyclopentene: Markovnikov Product,H-Br,predict,What is the major product of HBr addition to cyclopentene (no peroxides)?,"Bromocyclopentane (Markovnikov, Br on the ring carbon)",true,1-bromocyclopent-2-ene (allylic bromide),false,A ring-opened bromoalkene,false,"Trans-1,2-dibromocyclopentane",false,add,bromocyclopentane,,,"HBr without peroxides adds via carbocation (Markovnikov). H+ adds to one carbon of the double bond, Br- attacks the carbocation carbon. For cyclopentene (symmetric), the product is simply bromocyclopentane.",,"No peroxides = ionic Markovnikov addition. H adds first, then Br- attacks carbocation.",HBr no peroxides = Markovnikov. HBr + peroxides = anti-Markovnikov (radical).,Students may apply anti-Markovnikov regiochemistry (radical conditions) without noticing no peroxides are present.,C1CC=CC1
peracid_epoxidation_cyclohexene_1,Epoxidation with mCPBA: Stereo Outcome,CH3CO3H (peracid),predict,"What is the stereochemical outcome when cyclohexene reacts with a peracid (e.g., mCPBA or CH3CO3H)?","Trans-1,2-epoxycyclohexane",false,"Cis-1,2-epoxycyclohexane (an epoxide with both oxygens on the same face)",false,"Cyclohexene oxide (a single epoxide ring fused to the cyclohexane, syn addition)",true,"1,2-cyclohexanediol",false,epoxide,cyclohexene oxide,,syn,"Peracids donate an oxygen to the alkene in a concerted syn fashion, producing an epoxide. Both C-O bonds form on the same face. For cyclohexene, the product is the racemic epoxide (1,2-epoxycyclohexane).",,"Peracid = epoxidation, not dihydroxylation. Product is an epoxide, not a diol.",mCPBA / peracid = epoxide (one oxygen bridges both carbons). OsO4 = diol (two separate OH groups).,"Students confuse peracid (epoxide) with OsO4 (diol), or think epoxidation must give a cis-diol after ring opening.",C1CCCCC1
